Restaurant Name,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Aggregate rating,Votes
365 Naturals,Aerocity,77.087897,28.554463000000002,"Continental, North Indian, Fast Food, Street Food, South Indian",600,No,No,0.0,2
Tpot,Aerocity,77.087897,28.554463000000002,Cafe,800,No,No,0.0,0
4 on 44 Restaurant & Bar,"Aggarwal City Mall, Pitampura",77.13462259999999,28.6901424,"North Indian, Chinese",1000,Yes,Yes,2.6,49
Rambhog,"Aggarwal City Mall, Pitampura",77.1345554,28.690014299999998,"Street Food, Mithai",200,No,No,3.3,13
Selfie Lounge Restro & Bar,"Aggarwal City Mall, Pitampura",77.13477239,28.68990208,"North Indian, Chinese",1500,Yes,Yes,3.2,64
BTW,"Aggarwal City Plaza, Rohini",77.11772690000001,28.7003322,"Street Food, South Indian, Mithai",400,No,No,3.4,167
Chilli Pepper,"Aggarwal City Plaza, Rohini",77.11763940000002,28.7006401,"North Indian, Chinese",900,Yes,Yes,3.3,99
Pizza Hut,"Aggarwal City Plaza, Rohini",77.11726290000001,28.7006935,"Italian, Pizza, Fast Food",1000,No,Yes,2.6,125
Puri Bakers,"Aggarwal City Plaza, Rohini",77.1175742,28.7004868,"Bakery, Fast Food",300,No,No,3.7,124
Jaiveer Naan & Chaap,"Aggarwal City Plaza, Rohini",77.1176368,28.7004261,"North Indian, Fast Food",500,No,Yes,2.2,79
Aggarwal's Sweets Paradise,Alaknanda,77.2542078,28.52497428,"Mithai, North Indian, South Indian, Street Food",400,No,No,2.9,8
Bikaner Sweets,Alaknanda,77.2542551,28.525320899999997,"Mithai, Street Food",200,No,No,3.3,20
Cafe Coffee Day,Alaknanda,77.25014627,28.52813297,Cafe,450,No,No,3.2,23
Cakeophony By Sonali,Alaknanda,0.0,0.0,Bakery,400,No,No,3.4,19
Chandra Sweets,Alaknanda,77.25405570000001,28.5255719,"Mithai, North Indian, South Indian, Street Food",400,No,No,3.0,7
Chhotu Mashhoor Kathi Roll,Alaknanda,77.25411225,28.52569245,Fast Food,150,No,No,2.7,11
Green Chick Chop,Alaknanda,77.24689879,28.52810941,"Raw Meats, North Indian, Fast Food",350,No,No,3.2,35
Lazeez Restaurant,Alaknanda,77.25456940000001,28.525664600000002,"Chinese, North Indian, Italian, Mughlai",600,No,Yes,3.0,11
Madhuvan Chinese Fast Food,Alaknanda,77.25324590000001,28.52560319,Chinese,300,No,Yes,2.5,32
Mr Wong,Alaknanda,77.24979300000001,28.525675,"Chinese, Thai",800,No,Yes,3.2,10
Mughlai Shahi Rasoi,Alaknanda,77.253851,28.5253274,"North Indian, Mughlai",600,No,No,3.2,23
Mumbai Central Street Food,Alaknanda,77.24780235,28.52774267,"Street Food, Fast Food, Beverages",400,No,No,3.1,7
Neha's Treat,Alaknanda,77.2540306,28.5257928,Chinese,450,No,No,2.9,42
New Bakers Shoppee,Alaknanda,77.25402072,28.52553898,"Bakery, Fast Food",200,No,No,3.2,21
Pant  Ice Cream Parlour,Alaknanda,77.25401971,28.52572397,"Desserts, Ice Cream",150,No,No,3.3,16
PM 2 AM Food Bank,Alaknanda,77.25118,28.52757,North Indian,500,No,Yes,2.5,37
Punjabi Chaap Corner,Alaknanda,77.2542022,28.533376,North Indian,250,No,No,2.9,4
Sartaj Food Corner,Alaknanda,77.2540755,28.5258419,"North Indian, South Indian, Chinese",500,No,Yes,2.8,7
The Sugar Therapy,Alaknanda,77.25247900000001,28.523784999999997,"Bakery, Desserts",450,No,No,3.4,22
Biryani Binge,Alaknanda,77.25034475,28.53141028,"North Indian, Biryani",600,No,Yes,3.9,97
City of Joy,Alaknanda,77.25312788,28.53267894,Bengali,800,No,No,3.9,452
Letz Roll,Alaknanda,77.24684659999998,28.5278902,"Ice Cream, Desserts",250,No,No,3.6,14
Nukkad,Alaknanda,77.25,28.53,"Chinese, Mughlai, North Indian",650,No,Yes,3.6,82
#InstaFreeze,Alaknanda,77.253694,28.52542,Ice Cream,300,No,No,0.0,2
Aahar Meat and Chicken Shop,Alaknanda,77.25,28.52,"Raw Meats, Fast Food",400,No,No,0.0,0
Food Cafe,Alaknanda,77.25012012,28.5299095,"South Indian, North Indian, Chinese",350,No,No,0.0,0
Lazeez Restaurant,Alaknanda,77.25394236,28.5335614,"Chinese, North Indian, Mughlai, Pizza",500,No,No,0.0,1
Lemon Chick,Alaknanda,77.2546954,28.525267,North Indian,500,No,Yes,0.0,2
Punjabi Chaap Corner,Alaknanda,0.0,0.0,"Fast Food, North Indian",400,No,No,0.0,0
Purani Dilli Foods,Alaknanda,77.2550814,28.525492800000002,Mughlai,600,No,No,0.0,1
Tandoori Kebab,Alaknanda,77.248174,28.526931,North Indian,400,No,No,0.0,0
Shree Rathnam,Alaknanda,77.2543449,28.525598499999997,"South Indian, North Indian, Chinese",800,No,Yes,2.4,31
Alaturka,"Ambience Mall, Vasant Kunj",77.1549849,28.541562,Turkish,600,No,Yes,2.5,100
Amici Gourmet Pizza,"Ambience Mall, Vasant Kunj",77.1549896,28.541479700000004,"Pizza, Italian",800,No,Yes,3.1,230
Burger King,"Ambience Mall, Vasant Kunj",77.1551985,28.5417053,"Burger, Fast Food",500,No,Yes,3.2,458
Kylin Express,"Ambience Mall, Vasant Kunj",77.155068,28.541168300000002,"Asian, Chinese",700,No,No,2.6,176
Big Fat Sandwich,"Ambience Mall, Vasant Kunj",77.15575699,28.54155381,American,800,Yes,Yes,3.5,232
Fashion Tv Cafe,"Ambience Mall, Vasant Kunj",77.15530144,28.5414127,"Continental, Chinese, North Indian",2200,Yes,No,3.6,27
Kylin Skybar,"Ambience Mall, Vasant Kunj",77.154938,28.541447499999997,"Chinese, Japanese, Thai, Malaysian, Vietnamese, Asian",2200,Yes,No,3.6,210
Lemon Drops,"Ambience Mall, Vasant Kunj",77.1552225,28.541052500000003,"North Indian, South Indian",500,No,No,3.9,44
Punjabi By Nature Express,"Ambience Mall, Vasant Kunj",77.15509899999999,28.5411702,"North Indian, Street Food, Mughlai",600,No,No,3.5,206
Red Mango,"Ambience Mall, Vasant Kunj",77.15538769999999,28.5409809,"Cafe, Desserts",700,No,Yes,3.7,185
Starbucks,"Ambience Mall, Vasant Kunj",77.15541266,28.54089671,Cafe,700,No,No,3.7,256
Peninsular Kitchen,"Ambience Mall, Vasant Kunj",77.15509490000001,28.5411409,"Seafood, South Indian, Andhra, Hyderabadi, Goan",1500,Yes,Yes,4.2,336
Mithapur,Anand Lok,77.2187517,28.555563399999997,"Chinese, Fast Food, North Indian, South Indian",450,No,No,3.4,280
Diggin,Anand Lok,77.2194983,28.555635499999998,"Italian, Continental, Cafe",1400,Yes,Yes,4.2,2131
Aggarwal Sweet India,Anand Vihar,77.3169197,28.6603476,"Fast Food, North Indian, Chinese, Desserts",200,No,No,2.8,13
Banzara's,Anand Vihar,77.3063202,28.6594964,"Chinese, Fast Food",400,No,No,3.1,38
Bobby Tikki Wala,Anand Vihar,77.3168615,28.6603647,Street Food,150,No,No,2.8,69
Chennai Junction,Anand Vihar,77.3065547,28.6596493,South Indian,500,No,No,3.3,11
Chicken Bite,Anand Vihar,77.3065301,28.6595397,Fast Food,200,No,No,3.1,6
Chocolate Dreams,Anand Vihar,77.3068973,28.6594042,"Bakery, Desserts",400,No,No,3.0,4
Dial n Dine,Anand Vihar,77.316909,28.6602285,"North Indian, Chinese",650,No,No,3.4,80
Fresh n Refresh,Anand Vihar,77.3066672,28.659608399999996,Fast Food,500,No,No,3.4,24
Garden Hut,Anand Vihar,77.305701,28.660127799999998,"Chinese, Fast Food",250,No,No,3.1,13
Giani,Anand Vihar,77.30649659999999,28.6596561,"Ice Cream, Desserts",400,No,Yes,3.3,12
Jugnu Gaming Zone and Cafe,Anand Vihar,77.31032330000001,28.6578549,"Cafe, North Indian, Fast Food",600,No,No,2.9,4
Keventer's South Indian & Chinese Food,Anand Vihar,77.3068127,28.6594592,"Chinese, South Indian",200,No,No,2.8,9
KTS,Anand Vihar,77.306795,28.65948,Fast Food,250,No,No,3.3,18
Mandarin,Anand Vihar,77.3061657,28.659802600000003,Chinese,600,No,No,2.8,14
Penguin Bakers & Shakers,Anand Vihar,77.30647049999999,28.659677399999996,Fast Food,400,No,No,2.8,9
Rollmates,Anand Vihar,77.30642579999999,28.659525800000004,"Fast Food, North Indian, Chinese",200,No,No,3.2,16
Tandoori Nights,Anand Vihar,77.31698990000001,28.660447499999997,"Mughlai, North Indian",650,No,No,3.0,5
Burger Dominion,Anand Vihar,77.30654390000001,28.6596325,Fast Food,500,No,Yes,3.6,251
Cafe Gainz,Anand Vihar,77.306742,28.659537699999998,Healthy Food,350,No,Yes,3.5,42
Chaskaa,Anand Vihar,77.3066776,28.6595993,"Chinese, North Indian, Italian",650,No,Yes,3.5,220
Fabulous Cake Bites,Anand Vihar,77.3057084,28.6601355,"Bakery, Desserts, Fast Food, Pizza, Burger, Continental",400,No,Yes,3.6,34
Hangout - A House Of Kathis,Anand Vihar,77.3065483,28.659478200000002,Street Food,250,No,No,3.7,103
Malais By Anands,Anand Vihar,77.31719670000001,28.6602308,"North Indian, Chinese, South Indian, Fast Food",300,No,No,3.7,46
Panchwati Rasoi,Anand Vihar,77.31715799999999,28.659876300000004,"North Indian, Chinese",250,No,No,3.8,62
Sprinkles Cup & Cake,Anand Vihar,77.3160226,28.663254300000002,"Bakery, Desserts",300,No,No,3.6,42
Target Ice Cream & Bakers,Anand Vihar,77.3128538,28.660001,"Desserts, Bakery, Pizza, Burger, Continental",350,No,Yes,3.6,58
The Sweeet Jar,Anand Vihar,77.3049468,28.6600636,"Cafe, Bakery",1000,No,Yes,3.9,106
Amar Bakery,Anand Vihar,77.3066854,28.659580699999996,"Bakery, Desserts, Fast Food, Mithai",500,No,No,0.0,0
Cafe Brewbug,Anand Vihar,77.3064428,28.6595978,"Fast Food, Beverages",350,No,No,0.0,1
Chilll House Kafe,Anand Vihar,77.3068152,28.659437100000005,Cafe,500,No,No,0.0,1
Cookie Shookie,Anand Vihar,77.3068421,28.6594206,Bakery,100,No,No,0.0,0
Fabulous Cake,Anand Vihar,77.31811579999999,28.6640178,Bakery,300,No,No,0.0,0
Jai Maa Shaarde Samose Wala,Anand Vihar,77.3171146,28.660359399999997,Street Food,100,No,No,0.0,0
Madaan Confectionery,Anand Vihar,77.3180203,28.663686600000005,Bakery,150,No,No,0.0,0
Magic Masala,Anand Vihar,77.3061815,28.659757300000003,"Chinese, South Indian, North Indian",500,No,No,0.0,1
Sikka Chinese Fast Food,Anand Vihar,77.3065417,28.6579247,"Chinese, Fast Food",300,No,No,0.0,0
Teedo's Cake Inn,Anand Vihar,77.30564809999998,28.660097600000004,"Cafe, Bakery",500,No,No,0.0,0
Thalaiva Cafe,Anand Vihar,77.3065199,28.659426,"South Indian, Chinese",400,No,No,0.0,2
The Cake Affairs,Anand Vihar,77.3170268,28.662202399999998,"Bakery, Desserts",500,No,No,0.0,0
Tulsi Ram Chinese Hut,Anand Vihar,77.3062409,28.6595326,Chinese,200,No,No,0.0,0
V. K. Pasta,Anand Vihar,77.3066115,28.6595859,"Italian, Fast Food",600,No,No,0.0,0
Xpert Bakers,Anand Vihar,77.3147803,28.6519961,Bakery,250,No,No,0.0,0
Juniper Bar - Andaz Delhi,"Andaz Delhi, Aerocity",77.12181085,28.55480667,"North Indian, European",1500,Yes,No,3.0,4
McDonald's,"Ansal Plaza Mall, Khel Gaon Marg",77.22435859999999,28.562554499999997,"Fast Food, Burger",500,No,Yes,3.4,48
Pizza Hut Delivery,"Ansal Plaza Mall, Khel Gaon Marg",77.22426259999999,28.5625495,"Italian, Pizza, Fast Food",800,No,Yes,3.2,51
The Arena,"Ansal Plaza Mall, Khel Gaon Marg",77.22457759999999,28.562449800000003,"Continental, Asian, North Indian",1600,Yes,No,3.4,19
Restaurant De Seoul,"Ansal Plaza Mall, Khel Gaon Marg",77.2245397,28.562518,"Japanese, Korean",2500,Yes,No,3.6,59
Taksim,"Ansal Plaza Mall, Khel Gaon Marg",77.2239998,28.562556199999996,Continental,1500,Yes,No,3.9,188
Jom Jom Malay,"Ansal Plaza Mall, Khel Gaon Marg",77.22444300000001,28.563155,"Malaysian, Indonesian",1800,No,No,4.4,77
Kofuku,"Ansal Plaza Mall, Khel Gaon Marg",77.22493695,28.56257437,"Japanese, Asian",1500,No,Yes,4.0,46
The Sky High,"Ansal Plaza Mall, Khel Gaon Marg",77.2243747,28.562282500000002,"Continental, North Indian, Mughlai, Italian",1400,No,No,4.1,387
Haldiram's,"ARSS Mall, Paschim Vihar",77.10154384,28.66894461,"North Indian, South Indian, Chinese, Mithai, Fast Food",500,No,No,3.1,117
Jux Pux - The Dreamer's Cafe,Asaf Ali Road,77.238382,28.640953999999997,"Beverages, Fast Food",350,No,No,3.1,7
Pizzaon,Asaf Ali Road,77.23196391,28.64244153,"Pizza, Fast Food",500,No,No,3.0,10
FFC Restaurant,Asaf Ali Road,77.231881,28.642415000000003,Fast Food,250,No,No,0.0,1
"34, Chowringhee Lane",Ashok Vihar Phase 1,77.1729156,28.693327399999998,Fast Food,350,No,Yes,2.8,7
Aapni Dhani,Ashok Vihar Phase 1,77.17314520000001,28.6927118,"North Indian, Street Food",200,No,No,2.8,23
Bengal Sweet Corner,Ashok Vihar Phase 1,77.1725562,28.692666,"North Indian, South Indian, Chinese, Fast Food, Mithai",500,No,No,2.8,102
Chicken Vicken,Ashok Vihar Phase 1,77.16644559999999,28.6849156,"North Indian, Chinese",600,No,No,3.4,19
Cup-a-licious,Ashok Vihar Phase 1,77.17633020000001,28.697684600000002,Bakery,200,No,No,3.2,15
Frontier,Ashok Vihar Phase 1,77.17147779999999,28.693189500000003,Bakery,200,No,No,3.0,10
Metro Fast Food,Ashok Vihar Phase 1,77.17273440000001,28.693833299999998,"Chinese, Fast Food",400,No,No,2.7,17
Nagpal's,Ashok Vihar Phase 1,77.16644559999999,28.6848261,Street Food,200,No,Yes,3.4,135
Nile Restro & Bar,Ashok Vihar Phase 1,77.1721967,28.6942435,"North Indian, Chinese",1000,Yes,No,2.7,35
Popular Chicken,Ashok Vihar Phase 1,77.1730055,28.687425399999995,"North Indian, Mughlai, Chinese",450,No,No,3.0,5
Sardar A Pure Meat Shop,Ashok Vihar Phase 1,77.1729156,28.6873272,"Raw Meats, Fast Food, North Indian",150,No,No,3.4,22
Shankar Fast Food,Ashok Vihar Phase 1,77.17165759999999,28.6929381,"Chinese, Fast Food",300,No,No,3.2,74
Singh's Zaika ,Ashok Vihar Phase 1,77.17676309999999,28.681281899999995,"North Indian, Chinese, Mughlai",500,No,No,3.0,4
The Mirch Masala,Ashok Vihar Phase 1,77.17315579999999,28.693196399999998,"North Indian, Chinese",700,No,No,3.0,7
The Mirch Masala,Ashok Vihar Phase 1,77.17363449999999,28.6873066,North Indian,650,No,No,3.2,22
Uncle Cake Shop,Ashok Vihar Phase 1,77.1855851,28.6738532,"Bakery, Desserts, Fast Food",300,No,No,3.1,9
Kays Bar-Be-Que,Ashok Vihar Phase 1,77.1731852,28.6933532,"North Indian, Mughlai",700,No,Yes,3.5,191
Master Bakers,Ashok Vihar Phase 1,77.1728257,28.692512800000003,"Bakery, Desserts, Chinese, Fast Food",350,No,Yes,3.7,199
The Master's Fast Food Centre,Ashok Vihar Phase 1,77.1734098,28.6930613,"Fast Food, Chinese, Bakery",400,No,No,3.5,60
6 Pack Momos,Ashok Vihar Phase 1,77.1724219,28.6940223,Chinese,300,No,No,0.0,1
Al Noor Foods,Ashok Vihar Phase 1,77.1731402,28.6870353,"North Indian, Mughlai",500,No,No,0.0,0
Avon Kitchen,Ashok Vihar Phase 1,77.1736822,28.687276899999997,"North Indian, Mughlai, Chinese",700,No,No,0.0,0
Bhasad Cafe,Ashok Vihar Phase 1,77.18082290000001,28.6720536,"Fast Food, Chinese",500,No,No,0.0,1
Bikaner Kesarvala,Ashok Vihar Phase 1,77.1685277,28.687879,Mithai,100,No,No,0.0,2
De Bone Chicken,Ashok Vihar Phase 1,77.1730688,28.6872543,"Raw Meats, Fast Food",400,No,No,0.0,0
Indian Fresh Meat Shop,Ashok Vihar Phase 1,77.1728262,28.687261,"Raw Meats, Fast Food",300,No,No,0.0,1
JD's Food Court,Ashok Vihar Phase 1,77.18082290000001,28.6720536,"North Indian, Chinese",550,No,No,0.0,3
Keventers,Ashok Vihar Phase 1,77.17228659999999,28.6942521,Beverages,400,No,No,0.0,3
Malhotra Bakery,Ashok Vihar Phase 1,77.18563,28.6738127,"Bakery, Chinese",300,No,No,0.0,1
Matthi Wala,Ashok Vihar Phase 1,77.18,28.67,"Mithai, Street Food",150,No,No,0.0,0
Nirula's Ice Cream,Ashok Vihar Phase 1,77.17232299999999,28.694039,"Ice Cream, Desserts",250,No,No,0.0,0
Punjabi Chaap Corner,Ashok Vihar Phase 1,77.1809128,28.6703604,"Fast Food, Chinese",400,No,Yes,0.0,1
Puran Dhaba,Ashok Vihar Phase 1,77.1724663,28.680298600000004,North Indian,200,No,No,0.0,0
Rama Desi Ghee Meat Wala,Ashok Vihar Phase 1,0.0,0.0,North Indian,650,No,No,0.0,0
VadaPav 'n' Frankie,Ashok Vihar Phase 1,77.1732301,28.6873126,Fast Food,100,No,No,0.0,0
Chhabra Sweets,Ashok Vihar Phase 1,77.1723764,28.693992100000003,Mithai,100,No,No,2.4,15
Kanwarji's,Ashok Vihar Phase 2,77.1787198,28.694532799999998,"Street Food, Chinese, North Indian, Mithai",300,No,Yes,2.9,29
Pizza Hut,Ashok Vihar Phase 2,77.1780375,28.6929229,"Italian, Pizza, Fast Food",1000,No,Yes,3.4,35
Sagar Ratna,Ashok Vihar Phase 2,77.1779476,28.693362,"South Indian, North Indian, Chinese",600,No,Yes,2.7,278
Smelling Salts,Ashok Vihar Phase 2,77.1715677,28.695168199999998,"North Indian, Chinese",1200,Yes,No,3.3,53
Wah Ji Wah,Ashok Vihar Phase 2,77.17953609999999,28.6960643,"North Indian, Chinese",350,No,Yes,2.6,142
Wheelyz,Ashok Vihar Phase 2,77.1782172,28.693566999999998,"North Indian, Chinese, Fast Food",550,No,Yes,2.5,41
Bell Pepperz,Ashok Vihar Phase 2,77.17952009999999,28.696512800000004,"Chinese, Italian, North Indian",1300,Yes,Yes,3.9,492
Bharat Sweets,Ashok Vihar Phase 2,77.1780375,28.6929229,"Mithai, Street Food",250,No,No,3.5,28
Invitation,Ashok Vihar Phase 2,77.1794454,28.6961234,"North Indian, Chinese",1300,Yes,No,3.6,457
Mystique Melange,Ashok Vihar Phase 2,77.1702198,28.6963822,"North Indian, Mughlai, Chinese, Continental",1800,Yes,No,3.9,173
Pandit Ji Paranthe Wale,Ashok Vihar Phase 2,77.1799506,28.696565500000002,North Indian,200,No,No,3.7,131
Raju Chat Palace,Ashok Vihar Phase 2,77.18550350000001,28.680203999999996,Street Food,200,No,No,3.9,123
Seasonings - The Spice Mysteries,Ashok Vihar Phase 2,77.1793165,28.695053100000003,"North Indian, Mughlai, Chinese, Italian",1200,Yes,Yes,3.9,274
SGF - Spice Grill Flame,Ashok Vihar Phase 2,77.1794162,28.6961906,"North Indian, Chinese",500,No,Yes,3.5,87
Apni Rasoi,Ashok Vihar Phase 3,77.177678,28.6923511,North Indian,300,No,No,3.0,78
Bablu Kabab Shop,Ashok Vihar Phase 3,77.1781273,28.6919464,"North Indian, Mughlai",500,No,No,3.1,10
Cake o' Cuisine,Ashok Vihar Phase 3,77.1778577,28.691831,Bakery,300,No,No,3.3,26
Domino's Pizza,Ashok Vihar Phase 3,77.17781679999999,28.692417100000004,"Pizza, Fast Food",700,No,No,3.2,101
Hunger Flames,Ashok Vihar Phase 3,77.1835542,28.687223200000002,"Pizza, Fast Food, Chinese",500,No,No,3.4,17
Puran Chand Ambala Wale Di Hatti,Ashok Vihar Phase 3,77.1780375,28.6924751,"North Indian, Mughlai",600,No,No,3.3,34
The Cake Gallery,Ashok Vihar Phase 3,77.16742370000001,28.6849542,Bakery,500,No,No,3.3,12
Bablu Chic Inn,Ashok Vihar Phase 3,77.1780492,28.692485100000003,"Mughlai, North Indian",750,No,No,3.6,34
Masala Basket,Ashok Vihar Phase 3,77.17788320000001,28.6921495,"North Indian, South Indian, Street Food",400,No,Yes,3.6,46
Udta Punjab,Ashok Vihar Phase 3,77.1780375,28.6924751,"North Indian, Mughlai",600,No,No,3.5,31
Munch Nation,Ashok Vihar Phase 3,77.17785772,28.69218909,"Fast Food, Italian, Chinese",350,No,Yes,4.0,96
Bengali Pastry Shop & Snack Bar,Barakhamba Road,77.2319679,28.6295216,"North Indian, South Indian, Chinese",550,No,No,3.2,70
Bhimsain's Bengali Sweet House,Barakhamba Road,77.231938,28.6297833,"North Indian, South Indian, Chinese, Street Food, Mithai",400,No,Yes,3.4,560
Cafe Coffee Day,Barakhamba Road,77.22546157,28.62981784,Cafe,450,No,No,2.9,4
Colonel's Kababz,Barakhamba Road,77.2322198,28.6291908,"North Indian, Fast Food",600,No,Yes,3.4,38
Faasos,Barakhamba Road,77.22946999999999,28.637044,"North Indian, Fast Food",600,No,Yes,2.8,11
Karachi Bakery,Barakhamba Road,77.2321395,28.6296552,"Bakery, Mithai",200,No,No,3.0,4
Nathu's Sweets,Barakhamba Road,77.23211620000001,28.6297135,"North Indian, South Indian, Street Food, Mithai",600,No,Yes,3.3,421
Sachdeva Confectioners,Barakhamba Road,77.23034,28.636706,"North Indian, Chinese",550,No,Yes,3.1,68
Bengali Sweet House,Barakhamba Road,77.2319464,28.6296407,"North Indian, Street Food, Chinese, South Indian, Mithai",400,No,No,3.6,85
Bijoli Grill,Barakhamba Road,77.22564027,28.62586289,"Bengali, North Indian, Chinese",800,Yes,No,3.7,343
Nathu's Pastry Shop,Barakhamba Road,77.2320661,28.6291468,"Bakery, Desserts, Fast Food",300,No,No,3.8,120
Balaji Dhaba,Barakhamba Road,77.22971020000001,28.630252600000002,North Indian,200,No,No,0.0,3
Bhagat Ji,Barakhamba Road,77.22556986,28.62948089,Fast Food,100,No,No,0.0,2
Hangout Kathi Rolls,Barakhamba Road,77.22981700000001,28.630585200000002,Fast Food,200,No,No,0.0,2
Makers & Bakers,Barakhamba Road,77.22439370000001,28.633756199999997,"Bakery, Desserts",350,No,No,0.0,0
Habibi Express,Barakhamba Road,77.232182,28.6291992,"Lebanese, Arabian, Moroccan",750,No,Yes,2.3,55
Cafe Coffee Day,"Basant Lok Market, Vasant Vihar",77.16410805,28.55860308,Cafe,450,No,No,3.2,49
China Town,"Basant Lok Market, Vasant Vihar",77.16399444,28.55882222,"Chinese, Fast Food",400,No,No,2.9,7
Domino's Pizza,"Basant Lok Market, Vasant Vihar",77.16454592,28.55759742,"Pizza, Fast Food",700,No,No,3.3,90
High Street Kitchen & Bar,"Basant Lok Market, Vasant Vihar",77.16416739,28.55803178,North Indian,1200,Yes,No,2.9,11
Pizza Hut,"Basant Lok Market, Vasant Vihar",77.16408022,28.55750937,"Italian, Pizza, Fast Food",1000,No,Yes,3.1,161
Sugar & Spice - Le Marche,"Basant Lok Market, Vasant Vihar",77.16383245,28.55735771,"Bakery, Fast Food",800,No,No,3.0,67
The Kathis,"Basant Lok Market, Vasant Vihar",77.16335401,28.55749052,"Fast Food, North Indian",300,No,Yes,2.8,23
The Kylin Experience,"Basant Lok Market, Vasant Vihar",77.16345278,28.55915278,"Japanese, Chinese, Malaysian, Thai, Vietnamese",1700,No,Yes,3.3,60
Arabian Nites,"Basant Lok Market, Vasant Vihar",77.16421165,28.55731442,Lebanese,450,No,Yes,3.5,239
Asia Kitchen,"Basant Lok Market, Vasant Vihar",77.16395449,28.55894144,"Chinese, Thai, North Indian",1300,Yes,Yes,3.7,137
Dunkin' Donuts,"Basant Lok Market, Vasant Vihar",77.16427334,28.55739275,"Burger, Desserts, Fast Food",600,No,Yes,3.7,212
Krips Restaurant,"Basant Lok Market, Vasant Vihar",77.16388777,28.55720016,"North Indian, Chinese",1000,Yes,Yes,3.5,193
McDonald's,"Basant Lok Market, Vasant Vihar",77.16365643,28.5574864,"Fast Food, Burger",500,No,Yes,3.5,202
Yo! China,"Basant Lok Market, Vasant Vihar",77.16364905,28.55722872,Chinese,1300,Yes,Yes,3.5,332
RPM,"Basant Lok Market, Vasant Vihar",77.16416772,28.55756561,Finger Food,1800,Yes,No,2.4,92
By The Way - Bellagio,"Bellagio, Ashok Vihar Phase 2",77.1799244,28.6963277,"Italian, Continental",1000,Yes,Yes,2.9,120
Red - Bellagio,"Bellagio, Ashok Vihar Phase 2",77.1800463,28.6962508,Chinese,1500,Yes,Yes,3.4,137
Soul Curry - Bellagio,"Bellagio, Ashok Vihar Phase 2",77.1799244,28.6963277,"North Indian, Mughlai",1100,Yes,Yes,3.6,158
Alpha 63,"Best Western Taurus Hotel, Mahipalpur",77.12716850000001,28.5488265,"North Indian, Chinese, Continental",1500,Yes,No,2.7,9
Bite-N-Sip,Bhikaji Cama Place,77.18846020000001,28.5677783,"North Indian, Street Food",300,No,Yes,2.6,38
Lotus Garden,Bhikaji Cama Place,77.1870054,28.5692067,"Chinese, Japanese, Thai",2000,Yes,No,3.2,59
Meethas Sweets,Bhikaji Cama Place,77.1882805,28.568209200000002,"Mithai, North Indian",200,No,No,2.8,4
Nirula's,Bhikaji Cama Place,77.18884371,28.56747782,"Fast Food, North Indian, Desserts, Ice Cream",1100,No,Yes,2.5,98
Punjabi Tadka,Bhikaji Cama Place,77.1883704,28.5680386,North Indian,250,No,No,2.8,11
Snack Bar,Bhikaji Cama Place,77.1872056,28.5682072,"North Indian, Mughlai",250,No,No,3.0,11
